"Notes"	"Standard Residence States"	"Standard Residence States Code"	"OE Gestational Age Recode 4"	"OE Gestational Age Recode 4 Code"	"Year"	"Year Code"	Fetal Deaths
	"Indiana"	"18"	"20 - 23 weeks"	"02"	"2017"	"2017"	183
	"Indiana"	"18"	"20 - 23 weeks"	"02"	"2018"	"2018"	194
	"Indiana"	"18"	"20 - 23 weeks"	"02"	"2019"	"2019"	191
	"Indiana"	"18"	"24 - 27 weeks"	"03"	"2015"	"2015"	81
	"Indiana"	"18"	"24 - 27 weeks"	"03"	"2016"	"2016"	84
	"Indiana"	"18"	"24 - 27 weeks"	"03"	"2017"	"2017"	69
	"Indiana"	"18"	"24 - 27 weeks"	"03"	"2018"	"2018"	74
	"Indiana"	"18"	"24 - 27 weeks"	"03"	"2019"	"2019"	67
	"Indiana"	"18"	"28 weeks or more"	"04"	"2015"	"2015"	247
	"Indiana"	"18"	"28 weeks or more"	"04"	"2016"	"2016"	247
	"Indiana"	"18"	"28 weeks or more"	"04"	"2017"	"2017"	263
	"Indiana"	"18"	"28 weeks or more"	"04"	"2018"	"2018"	228
	"Indiana"	"18"	"28 weeks or more"	"04"	"2019"	"2019"	230
	"Indiana"	"18"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Indiana"	"18"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Indiana"	"18"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Indiana"	"18"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Indiana"	"18"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Indiana"	"18"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Indiana"	"18"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Indiana"	"18"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Indiana"	"18"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Indiana"	"18"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Iowa"	"19"	"20 - 23 weeks"	"02"	"2015"	"2015"	67
	"Iowa"	"19"	"20 - 23 weeks"	"02"	"2016"	"2016"	58
	"Iowa"	"19"	"20 - 23 weeks"	"02"	"2017"	"2017"	68
	"Iowa"	"19"	"20 - 23 weeks"	"02"	"2018"	"2018"	54
	"Iowa"	"19"	"20 - 23 weeks"	"02"	"2019"	"2019"	65
	"Iowa"	"19"	"24 - 27 weeks"	"03"	"2015"	"2015"	34
	"Iowa"	"19"	"24 - 27 weeks"	"03"	"2016"	"2016"	34
	"Iowa"	"19"	"24 - 27 weeks"	"03"	"2017"	"2017"	31
	"Iowa"	"19"	"24 - 27 weeks"	"03"	"2018"	"2018"	20
	"Iowa"	"19"	"24 - 27 weeks"	"03"	"2019"	"2019"	29
	"Iowa"	"19"	"28 weeks or more"	"04"	"2015"	"2015"	82
	"Iowa"	"19"	"28 weeks or more"	"04"	"2016"	"2016"	101
	"Iowa"	"19"	"28 weeks or more"	"04"	"2017"	"2017"	97
	"Iowa"	"19"	"28 weeks or more"	"04"	"2018"	"2018"	76
	"Iowa"	"19"	"28 weeks or more"	"04"	"2019"	"2019"	101
	"Iowa"	"19"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Iowa"	"19"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Iowa"	"19"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Iowa"	"19"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Iowa"	"19"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Iowa"	"19"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Iowa"	"19"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Iowa"	"19"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Iowa"	"19"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Iowa"	"19"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Kansas"	"20"	"20 - 23 weeks"	"02"	"2015"	"2015"	85
	"Kansas"	"20"	"20 - 23 weeks"	"02"	"2016"	"2016"	72
	"Kansas"	"20"	"20 - 23 weeks"	"02"	"2017"	"2017"	58
	"Kansas"	"20"	"20 - 23 weeks"	"02"	"2018"	"2018"	77
	"Kansas"	"20"	"20 - 23 weeks"	"02"	"2019"	"2019"	69
	"Kansas"	"20"	"24 - 27 weeks"	"03"	"2015"	"2015"	44
	"Kansas"	"20"	"24 - 27 weeks"	"03"	"2016"	"2016"	41
	"Kansas"	"20"	"24 - 27 weeks"	"03"	"2017"	"2017"	36
	"Kansas"	"20"	"24 - 27 weeks"	"03"	"2018"	"2018"	37
	"Kansas"	"20"	"24 - 27 weeks"	"03"	"2019"	"2019"	37
	"Kansas"	"20"	"28 weeks or more"	"04"	"2015"	"2015"	101
	"Kansas"	"20"	"28 weeks or more"	"04"	"2016"	"2016"	139
	"Kansas"	"20"	"28 weeks or more"	"04"	"2017"	"2017"	90
	"Kansas"	"20"	"28 weeks or more"	"04"	"2018"	"2018"	90
	"Kansas"	"20"	"28 weeks or more"	"04"	"2019"	"2019"	90
	"Kansas"	"20"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Kansas"	"20"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Kansas"	"20"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Kansas"	"20"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Kansas"	"20"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Kansas"	"20"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Kansas"	"20"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Kansas"	"20"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Kansas"	"20"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Kansas"	"20"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Kentucky"	"21"	"20 - 23 weeks"	"02"	"2015"	"2015"	124
	"Kentucky"	"21"	"20 - 23 weeks"	"02"	"2016"	"2016"	112
	"Kentucky"	"21"	"20 - 23 weeks"	"02"	"2017"	"2017"	113
	"Kentucky"	"21"	"20 - 23 weeks"	"02"	"2018"	"2018"	105
	"Kentucky"	"21"	"20 - 23 weeks"	"02"	"2019"	"2019"	107
	"Kentucky"	"21"	"24 - 27 weeks"	"03"	"2015"	"2015"	54
	"Kentucky"	"21"	"24 - 27 weeks"	"03"	"2016"	"2016"	58
	"Kentucky"	"21"	"24 - 27 weeks"	"03"	"2017"	"2017"	48
	"Kentucky"	"21"	"24 - 27 weeks"	"03"	"2018"	"2018"	48
	"Kentucky"	"21"	"24 - 27 weeks"	"03"	"2019"	"2019"	51
	"Kentucky"	"21"	"28 weeks or more"	"04"	"2015"	"2015"	180
	"Kentucky"	"21"	"28 weeks or more"	"04"	"2016"	"2016"	173
	"Kentucky"	"21"	"28 weeks or more"	"04"	"2017"	"2017"	190
	"Kentucky"	"21"	"28 weeks or more"	"04"	"2018"	"2018"	158
	"Kentucky"	"21"	"28 weeks or more"	"04"	"2019"	"2019"	148
	"Kentucky"	"21"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Kentucky"	"21"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Kentucky"	"21"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Kentucky"	"21"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Kentucky"	"21"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Kentucky"	"21"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Kentucky"	"21"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Kentucky"	"21"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Kentucky"	"21"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Kentucky"	"21"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Louisiana"	"22"	"20 - 23 weeks"	"02"	"2015"	"2015"	127
	"Louisiana"	"22"	"20 - 23 weeks"	"02"	"2016"	"2016"	149
	"Louisiana"	"22"	"20 - 23 weeks"	"02"	"2017"	"2017"	109
	"Louisiana"	"22"	"20 - 23 weeks"	"02"	"2018"	"2018"	105
	"Louisiana"	"22"	"20 - 23 weeks"	"02"	"2019"	"2019"	105
	"Louisiana"	"22"	"24 - 27 weeks"	"03"	"2015"	"2015"	50
	"Louisiana"	"22"	"24 - 27 weeks"	"03"	"2016"	"2016"	60
	"Louisiana"	"22"	"24 - 27 weeks"	"03"	"2017"	"2017"	52
	"Louisiana"	"22"	"24 - 27 weeks"	"03"	"2018"	"2018"	66
	"Louisiana"	"22"	"24 - 27 weeks"	"03"	"2019"	"2019"	58
	"Louisiana"	"22"	"28 weeks or more"	"04"	"2015"	"2015"	168
	"Louisiana"	"22"	"28 weeks or more"	"04"	"2016"	"2016"	175
	"Louisiana"	"22"	"28 weeks or more"	"04"	"2017"	"2017"	167
	"Louisiana"	"22"	"28 weeks or more"	"04"	"2018"	"2018"	154
	"Louisiana"	"22"	"28 weeks or more"	"04"	"2019"	"2019"	124
	"Louisiana"	"22"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Louisiana"	"22"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Louisiana"	"22"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Louisiana"	"22"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Louisiana"	"22"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Louisiana"	"22"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Louisiana"	"22"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Louisiana"	"22"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Louisiana"	"22"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Louisiana"	"22"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Maine"	"23"	"20 - 23 weeks"	"02"	"2015"	"2015"	24
	"Maine"	"23"	"20 - 23 weeks"	"02"	"2016"	"2016"	11
	"Maine"	"23"	"20 - 23 weeks"	"02"	"2017"	"2017"	29
	"Maine"	"23"	"20 - 23 weeks"	"02"	"2018"	"2018"	29
	"Maine"	"23"	"20 - 23 weeks"	"02"	"2019"	"2019"	26
	"Maine"	"23"	"24 - 27 weeks"	"03"	"2015"	"2015"	Suppressed
	"Maine"	"23"	"24 - 27 weeks"	"03"	"2016"	"2016"	Suppressed
	"Maine"	"23"	"24 - 27 weeks"	"03"	"2017"	"2017"	Suppressed
	"Maine"	"23"	"24 - 27 weeks"	"03"	"2018"	"2018"	13
	"Maine"	"23"	"24 - 27 weeks"	"03"	"2019"	"2019"	Suppressed
	"Maine"	"23"	"28 weeks or more"	"04"	"2015"	"2015"	33
	"Maine"	"23"	"28 weeks or more"	"04"	"2016"	"2016"	23
	"Maine"	"23"	"28 weeks or more"	"04"	"2017"	"2017"	32
	"Maine"	"23"	"28 weeks or more"	"04"	"2018"	"2018"	29
	"Maine"	"23"	"28 weeks or more"	"04"	"2019"	"2019"	31
	"Maine"	"23"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Maine"	"23"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Maine"	"23"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Maine"	"23"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Maine"	"23"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Maine"	"23"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Maine"	"23"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Maine"	"23"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Maine"	"23"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Maine"	"23"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Maryland"	"24"	"20 - 23 weeks"	"02"	"2015"	"2015"	209
	"Maryland"	"24"	"20 - 23 weeks"	"02"	"2016"	"2016"	235
	"Maryland"	"24"	"20 - 23 weeks"	"02"	"2017"	"2017"	214
	"Maryland"	"24"	"20 - 23 weeks"	"02"	"2018"	"2018"	208
	"Maryland"	"24"	"20 - 23 weeks"	"02"	"2019"	"2019"	179
	"Maryland"	"24"	"24 - 27 weeks"	"03"	"2015"	"2015"	80
	"Maryland"	"24"	"24 - 27 weeks"	"03"	"2016"	"2016"	92
	"Maryland"	"24"	"24 - 27 weeks"	"03"	"2017"	"2017"	85
	"Maryland"	"24"	"24 - 27 weeks"	"03"	"2018"	"2018"	92
	"Maryland"	"24"	"24 - 27 weeks"	"03"	"2019"	"2019"	78
	"Maryland"	"24"	"28 weeks or more"	"04"	"2015"	"2015"	240
	"Maryland"	"24"	"28 weeks or more"	"04"	"2016"	"2016"	223
	"Maryland"	"24"	"28 weeks or more"	"04"	"2017"	"2017"	206
	"Maryland"	"24"	"28 weeks or more"	"04"	"2018"	"2018"	197
	"Maryland"	"24"	"28 weeks or more"	"04"	"2019"	"2019"	205
	"Maryland"	"24"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Maryland"	"24"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Maryland"	"24"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Maryland"	"24"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Maryland"	"24"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Maryland"	"24"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Maryland"	"24"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Maryland"	"24"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Maryland"	"24"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Maryland"	"24"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Massachusetts"	"25"	"20 - 23 weeks"	"02"	"2015"	"2015"	89
	"Massachusetts"	"25"	"20 - 23 weeks"	"02"	"2016"	"2016"	96
	"Massachusetts"	"25"	"20 - 23 weeks"	"02"	"2017"	"2017"	94
	"Massachusetts"	"25"	"20 - 23 weeks"	"02"	"2018"	"2018"	111
	"Massachusetts"	"25"	"20 - 23 weeks"	"02"	"2019"	"2019"	94
	"Massachusetts"	"25"	"24 - 27 weeks"	"03"	"2015"	"2015"	45
	"Massachusetts"	"25"	"24 - 27 weeks"	"03"	"2016"	"2016"	54
	"Massachusetts"	"25"	"24 - 27 weeks"	"03"	"2017"	"2017"	38
	"Massachusetts"	"25"	"24 - 27 weeks"	"03"	"2018"	"2018"	44
	"Massachusetts"	"25"	"24 - 27 weeks"	"03"	"2019"	"2019"	44
	"Massachusetts"	"25"	"28 weeks or more"	"04"	"2015"	"2015"	201
	"Massachusetts"	"25"	"28 weeks or more"	"04"	"2016"	"2016"	181
	"Massachusetts"	"25"	"28 weeks or more"	"04"	"2017"	"2017"	156
	"Massachusetts"	"25"	"28 weeks or more"	"04"	"2018"	"2018"	160
	"Massachusetts"	"25"	"28 weeks or more"	"04"	"2019"	"2019"	160
	"Massachusetts"	"25"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Massachusetts"	"25"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Massachusetts"	"25"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Massachusetts"	"25"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Massachusetts"	"25"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Massachusetts"	"25"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Massachusetts"	"25"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Massachusetts"	"25"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Massachusetts"	"25"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Massachusetts"	"25"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Michigan"	"26"	"20 - 23 weeks"	"02"	"2015"	"2015"	187
	"Michigan"	"26"	"20 - 23 weeks"	"02"	"2016"	"2016"	238
	"Michigan"	"26"	"20 - 23 weeks"	"02"	"2017"	"2017"	212
	"Michigan"	"26"	"20 - 23 weeks"	"02"	"2018"	"2018"	236
	"Michigan"	"26"	"20 - 23 weeks"	"02"	"2019"	"2019"	242
	"Michigan"	"26"	"24 - 27 weeks"	"03"	"2015"	"2015"	87
	"Michigan"	"26"	"24 - 27 weeks"	"03"	"2016"	"2016"	88
	"Michigan"	"26"	"24 - 27 weeks"	"03"	"2017"	"2017"	95
	"Michigan"	"26"	"24 - 27 weeks"	"03"	"2018"	"2018"	91
	"Michigan"	"26"	"24 - 27 weeks"	"03"	"2019"	"2019"	87
	"Michigan"	"26"	"28 weeks or more"	"04"	"2015"	"2015"	279
	"Michigan"	"26"	"28 weeks or more"	"04"	"2016"	"2016"	304
	"Michigan"	"26"	"28 weeks or more"	"04"	"2017"	"2017"	299
	"Michigan"	"26"	"28 weeks or more"	"04"	"2018"	"2018"	325
	"Michigan"	"26"	"28 weeks or more"	"04"	"2019"	"2019"	321
	"Michigan"	"26"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Michigan"	"26"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Michigan"	"26"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Michigan"	"26"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Michigan"	"26"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Michigan"	"26"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Michigan"	"26"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Michigan"	"26"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Michigan"	"26"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Michigan"	"26"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Minnesota"	"27"	"20 - 23 weeks"	"02"	"2015"	"2015"	140
	"Minnesota"	"27"	"20 - 23 weeks"	"02"	"2016"	"2016"	148
	"Minnesota"	"27"	"20 - 23 weeks"	"02"	"2017"	"2017"	149
	"Minnesota"	"27"	"20 - 23 weeks"	"02"	"2018"	"2018"	155
	"Minnesota"	"27"	"20 - 23 weeks"	"02"	"2019"	"2019"	133
	"Minnesota"	"27"	"24 - 27 weeks"	"03"	"2015"	"2015"	56
	"Minnesota"	"27"	"24 - 27 weeks"	"03"	"2016"	"2016"	39
	"Minnesota"	"27"	"24 - 27 weeks"	"03"	"2017"	"2017"	62
	"Minnesota"	"27"	"24 - 27 weeks"	"03"	"2018"	"2018"	53
	"Minnesota"	"27"	"24 - 27 weeks"	"03"	"2019"	"2019"	46
	"Minnesota"	"27"	"28 weeks or more"	"04"	"2015"	"2015"	206
	"Minnesota"	"27"	"28 weeks or more"	"04"	"2016"	"2016"	191
	"Minnesota"	"27"	"28 weeks or more"	"04"	"2017"	"2017"	174
	"Minnesota"	"27"	"28 weeks or more"	"04"	"2018"	"2018"	183
	"Minnesota"	"27"	"28 weeks or more"	"04"	"2019"	"2019"	180
	"Minnesota"	"27"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Minnesota"	"27"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Minnesota"	"27"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Minnesota"	"27"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Minnesota"	"27"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Minnesota"	"27"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Minnesota"	"27"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Minnesota"	"27"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Minnesota"	"27"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Minnesota"	"27"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Mississippi"	"28"	"20 - 23 weeks"	"02"	"2015"	"2015"	131
	"Mississippi"	"28"	"20 - 23 weeks"	"02"	"2016"	"2016"	173
	"Mississippi"	"28"	"20 - 23 weeks"	"02"	"2017"	"2017"	159
	"Mississippi"	"28"	"20 - 23 weeks"	"02"	"2018"	"2018"	136
	"Mississippi"	"28"	"20 - 23 weeks"	"02"	"2019"	"2019"	123
	"Mississippi"	"28"	"24 - 27 weeks"	"03"	"2015"	"2015"	62
	"Mississippi"	"28"	"24 - 27 weeks"	"03"	"2016"	"2016"	62
	"Mississippi"	"28"	"24 - 27 weeks"	"03"	"2017"	"2017"	73
	"Mississippi"	"28"	"24 - 27 weeks"	"03"	"2018"	"2018"	67
	"Mississippi"	"28"	"24 - 27 weeks"	"03"	"2019"	"2019"	58
	"Mississippi"	"28"	"28 weeks or more"	"04"	"2015"	"2015"	155
	"Mississippi"	"28"	"28 weeks or more"	"04"	"2016"	"2016"	163
	"Mississippi"	"28"	"28 weeks or more"	"04"	"2017"	"2017"	184
	"Mississippi"	"28"	"28 weeks or more"	"04"	"2018"	"2018"	186
	"Mississippi"	"28"	"28 weeks or more"	"04"	"2019"	"2019"	166
	"Mississippi"	"28"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Mississippi"	"28"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Mississippi"	"28"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Mississippi"	"28"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Mississippi"	"28"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Mississippi"	"28"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Mississippi"	"28"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Mississippi"	"28"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Mississippi"	"28"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Mississippi"	"28"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Missouri"	"29"	"20 - 23 weeks"	"02"	"2015"	"2015"	160
	"Missouri"	"29"	"20 - 23 weeks"	"02"	"2016"	"2016"	152
	"Missouri"	"29"	"20 - 23 weeks"	"02"	"2017"	"2017"	152
	"Missouri"	"29"	"20 - 23 weeks"	"02"	"2018"	"2018"	133
	"Missouri"	"29"	"20 - 23 weeks"	"02"	"2019"	"2019"	126
	"Missouri"	"29"	"24 - 27 weeks"	"03"	"2015"	"2015"	73
	"Missouri"	"29"	"24 - 27 weeks"	"03"	"2016"	"2016"	81
	"Missouri"	"29"	"24 - 27 weeks"	"03"	"2017"	"2017"	67
	"Missouri"	"29"	"24 - 27 weeks"	"03"	"2018"	"2018"	69
	"Missouri"	"29"	"24 - 27 weeks"	"03"	"2019"	"2019"	78
	"Missouri"	"29"	"28 weeks or more"	"04"	"2015"	"2015"	224
	"Missouri"	"29"	"28 weeks or more"	"04"	"2016"	"2016"	229
	"Missouri"	"29"	"28 weeks or more"	"04"	"2017"	"2017"	210
	"Missouri"	"29"	"28 weeks or more"	"04"	"2018"	"2018"	198
	"Missouri"	"29"	"28 weeks or more"	"04"	"2019"	"2019"	197
	"Missouri"	"29"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Missouri"	"29"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Missouri"	"29"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Missouri"	"29"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Missouri"	"29"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Missouri"	"29"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Missouri"	"29"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Missouri"	"29"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Missouri"	"29"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Missouri"	"29"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Montana"	"30"	"20 - 23 weeks"	"02"	"2015"	"2015"	10
	"Montana"	"30"	"20 - 23 weeks"	"02"	"2016"	"2016"	14
	"Montana"	"30"	"20 - 23 weeks"	"02"	"2017"	"2017"	21
	"Montana"	"30"	"20 - 23 weeks"	"02"	"2018"	"2018"	16
	"Montana"	"30"	"20 - 23 weeks"	"02"	"2019"	"2019"	10
	"Montana"	"30"	"24 - 27 weeks"	"03"	"2015"	"2015"	Suppressed
	"Montana"	"30"	"24 - 27 weeks"	"03"	"2016"	"2016"	Suppressed
	"Montana"	"30"	"24 - 27 weeks"	"03"	"2017"	"2017"	Suppressed
	"Montana"	"30"	"24 - 27 weeks"	"03"	"2018"	"2018"	Suppressed
	"Montana"	"30"	"24 - 27 weeks"	"03"	"2019"	"2019"	Suppressed
	"Montana"	"30"	"28 weeks or more"	"04"	"2015"	"2015"	32
	"Montana"	"30"	"28 weeks or more"	"04"	"2016"	"2016"	30
	"Montana"	"30"	"28 weeks or more"	"04"	"2017"	"2017"	24
	"Montana"	"30"	"28 weeks or more"	"04"	"2018"	"2018"	27
	"Montana"	"30"	"28 weeks or more"	"04"	"2019"	"2019"	36
	"Montana"	"30"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Montana"	"30"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Montana"	"30"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Montana"	"30"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Montana"	"30"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Montana"	"30"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Montana"	"30"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Montana"	"30"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Montana"	"30"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Montana"	"30"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Nebraska"	"31"	"20 - 23 weeks"	"02"	"2015"	"2015"	56
	"Nebraska"	"31"	"20 - 23 weeks"	"02"	"2016"	"2016"	45
	"Nebraska"	"31"	"20 - 23 weeks"	"02"	"2017"	"2017"	57
	"Nebraska"	"31"	"20 - 23 weeks"	"02"	"2018"	"2018"	37
	"Nebraska"	"31"	"20 - 23 weeks"	"02"	"2019"	"2019"	37
	"Nebraska"	"31"	"24 - 27 weeks"	"03"	"2015"	"2015"	22
	"Nebraska"	"31"	"24 - 27 weeks"	"03"	"2016"	"2016"	20
	"Nebraska"	"31"	"24 - 27 weeks"	"03"	"2017"	"2017"	24
	"Nebraska"	"31"	"24 - 27 weeks"	"03"	"2018"	"2018"	18
	"Nebraska"	"31"	"24 - 27 weeks"	"03"	"2019"	"2019"	27
	"Nebraska"	"31"	"28 weeks or more"	"04"	"2015"	"2015"	79
	"Nebraska"	"31"	"28 weeks or more"	"04"	"2016"	"2016"	87
	"Nebraska"	"31"	"28 weeks or more"	"04"	"2017"	"2017"	83
	"Nebraska"	"31"	"28 weeks or more"	"04"	"2018"	"2018"	50
	"Nebraska"	"31"	"28 weeks or more"	"04"	"2019"	"2019"	61
	"Nebraska"	"31"	"Unknown"	"05"	"2015"	"2015"	Suppressed
	"Nebraska"	"31"	"Unknown"	"05"	"2016"	"2016"	Suppressed
	"Nebraska"	"31"	"Unknown"	"05"	"2017"	"2017"	Suppressed
	"Nebraska"	"31"	"Unknown"	"05"	"2018"	"2018"	Suppressed
	"Nebraska"	"31"	"Unknown"	"05"	"2019"	"2019"	Suppressed
	"Nebraska"	"31"	"Not Available"	"110"	"2015"	"2015"	Suppressed
	"Nebraska"	"31"	"Not Available"	"110"	"2016"	"2016"	Suppressed
	"Nebraska"	"31"	"Not Available"	"110"	"2017"	"2017"	Suppressed
	"Nebraska"	"31"	"Not Available"	"110"	"2018"	"2018"	Suppressed
	"Nebraska"	"31"	"Not Available"	"110"	"2019"	"2019"	Suppressed
	"Nevada"	"32"	"20 - 23 weeks"	"02"	"2015"	"2015"	88
	"Nevada"	"32"	"20 - 23 weeks"	"02"	"2016"	"2016"	93
